Country Name,Country Code,"2016 [YR2016] - Access to electricity, rural (% of rural population) [EG.ELC.ACCS.RU.ZS]",2016 [YR2016] - Government Effectiveness: Estimate [GE.EST],"2016 [YR2016] - GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]",2016 [YR2016] - Electric power transmission and distribution losses (% of output) [EG.ELC.LOSS.ZS],"2016 [YR2016] - Access to electricity, urban (% of urban population) [EG.ELC.ACCS.UR.ZS]",2016 [YR2016] - Access to electricity (% of population) [EG.ELC.ACCS.ZS],2016 [YR2016] - Rural population (% of total population) [SP.RUR.TOTL.ZS],2016 [YR2016] - Urban population (% of total population) [SP.URB.TOTL.IN.ZS],2016 [YR2016] - Population density (people per sq. km of land area) [EN.POP.DNST]
Afghanistan,AFG,97.1,-1.29146802425385,2213.1814410479,..,99.5,97.7,75.3411654279874,24.6588345720126,53.2030296061205
Albania,ALB,99.7,0.0290823616087437,13055.8417473139,25.751734772552,100,99.9,44.4261265535724,55.5738734464276,98.155802919708
Algeria,DZA,98.3,-0.464708805084229,13437.8460232169,15.0457061565982,99.9,99.4,29.2646221736149,70.7353778263851,17.1516218598076
American Samoa,ASM,..,0.482561141252518,..,..,..,..,15.7137175610939,84.2862824389061,261.225
Andorra,AND,100,1.80540561676025,53110.1426263211,..,100,100,11.4972545365147,88.5027454634853,153.576595744681
Angola,AGO,..,-0.971493542194366,7766.83787525546,11.2669600293363,67.9,41.8,35.7007697482011,64.2992302517989,23.4082537900056
Antigua and Barbuda,ATG,100,0.217992216348648,21320.4375067809,..,100,100,75.0760192528345,24.9239807471655,204.475
Argentina,ARG,99.3,0.218796372413635,20105.761359796,13.8785491101752,100,99.9,8.4143182771783,91.5856817228217,16.0413905118958
Armenia,ARM,99.8,-0.31255441904068,10570.2720413936,9.6514012303486,99.8,99.8,35.4071246654684,64.5928753345316,105.103617843344
Aruba,ABW,100,0.852905750274658,36117.5352619835,..,100,100,36.9922119428858,63.0077880571142,604.038888888889
Australia,AUS,100,1.53218841552734,47446.2103030951,3.93758129463903,100,100,12.9833704750765,87.0166295249235,3.14493553058884
Austria,AUT,100,1.47481060028076,52397.8635176674,4.88815365696551,100,100,32.2781938076444,67.7218061923556,105.873339796413
Azerbaijan,AZE,100,-0.159376382827759,14535.8020210633,9.41808271882014,100,100,44.2425202794734,55.7574797205266,118.033288980283
"Bahamas, The",BHS,100,0.682434141635895,32285.2760366069,..,100,100,17.8215621429272,82.1784378570728,38.7667332667333
Bahrain,BHR,100,0.273154228925705,47428.9018907649,2.40617327253595,100,100,0,100,1827.63286264442
Bangladesh,BGD,66.1,-0.705847561359406,4579.13228682862,9.29153495925529,94,75.9,70.1246084482035,29.8753915517965,1235.3993393255
Barbados,BRB,100,1.04390239715576,19175.570190422,..,100,100,40.7489744698847,59.2510255301153,650.227906976744
Belarus,BLR,94.7,-0.513944447040558,17832.4778855815,8.56819400583924,99,98,23.1541290283203,76.8458709716797,46.6499448243246
Belgium,BEL,100,1.39763832092285,48414.5518065681,4.58729528304091,100,100,13.5492209020355,86.4507790979645,373.567467774371
Belize,BLZ,89.4,-0.635813772678375,9399.03567052789,..,97.9,93.3,56.3234485690789,43.6765514309211,15.9888206926786
Benin,BEN,15.2,-0.625652372837067,2842.0246258376,..,62.5,37,53.3905440993336,46.6094559006664,103.741060659808
Bermuda,BMU,100,1.27626776695251,80412.1834895484,..,100,100,0,100,1174.98148148148
Bhutan,BTN,99,0.498982816934586,11273.2823807676,..,99.9,99.3,62.7254765358593,37.2745234641407,19.6063863255034
